Code,Name,Category
AP,Andhra Pradesh,State
AR,Arunachal Pradesh,State
AS,Assam,State
BH,Bihar,State
GA,Goa,State
GJ,Gujarat,State
HR,Haryana,State
HP,Himachal Pradesh,State
KA,Karnataka,State
KL,Kerala,State
MP,Madhya Pradesh,State
MH,Maharashtra,State
MN,Manipur,State
MG,Meghalaya,State
MZ,Mizoram,State
NL,Nagaland,State
OD,Odisha,State
PB,Punjab,State
RJ,Rajasthan,State
SK,Sikkim,State
TN,Tamil Nadu,State
TR,Tripura,State
UP,Uttar Pradesh,State
WB,West Bengal,State
CG,Chhattisgarh,State
JH,Jharkhand,State
UK,Uttarakhand,State
TS,Telangana,State
ANI,Andaman & Nicobar Islands,Union Territory
CH,Chandigarh,Union Territory
DNHDD,Dadra & Nagar Haveli and Daman & Diu,Union Territory
DL,Delhi,Union Territory
LK,Lakshadweep,Union Territory
PD,Puducherry,Union Territory
JK,Jammu and Kashmir,Union Territory
LA,Ladakh,Union Territory
